OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,REMOVED_BOOL,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES
VST,479,737,27,WUQ009ZB,J47SA7GA3O,SATOCLV,2/16/2019 02:31:00 PM,2/16/2019,1,22,0,,,0,0
VST,478,737,23,UV1QK3PU,VCFF5E1530,SJBEPWN,6/13/2016 02:54:51 PM,10/9/2018,1,16,9,366,74,2325,2410
VST,478,737,34,70J139RY,INMPMQTE8V,S49E8WE,2/23/2019 04:42:00 PM,2/25/2019,1,18,1,1,1,8,8
VST,479,737,46,2562CGF4,6HAG5HHU8K,S3TRZMY,10/11/2016 11:32:53 PM,10/26/2016,1,19,2,7,3,24,37
VST,479,737,22,ZPYPBIS7,Y4OG6SEB7W,SK7M6J3,5/10/2017 07:57:00 AM,5/11/2017,1,20,1,,,6,185772
VST,479,737,34,0B34RUZA,8EBJKNHVJ0,SAF0SI3,12/20/2017 08:34:00 AM,7/7/2019,1,20,2,222,12,1352,1352
VST,478,737,21,T478ZQSY,XCOBO1EDAB,STQ7059,8/11/2017 04:22:00 PM,8/11/2017,1,17,0,,,0,0
VST,478,737,23,D8AYE21Y,XUWVF4E20O,SKT8SPB,7/3/2017 11:04:00 PM,7/3/2017,1,17,0,,,0,2543
VST,478,737,35,JXK1JF3A,LGKCSK7X1K,S5UZMMI,5/21/2019 07:04:00 AM,6/28/2019,1,19,0,12,,100,1532
VST,479,737,22,UP1BR74P,42X6ETXLOY,S0FGK20,10/22/2016 04:59:38 PM,10/22/2016,1,19,0,,,0,0
VST,479,737,34,0B34RUZA,8EBJKNHVJ0,SA68826,9/26/2017 11:52:00 PM,12/20/2017,1,20,4,54,,209,1082
